"EXTERNAL_ID_TYPE","LANGUAGE_CODE","SHORT_DISPLAY","DISPLAY_VALUE"
67,1,"","IPTV - Subscription3"
233,11,"","Backup Site No"
233,1,"","Backup Site No"
238,1,"","SIP IP ADDRESS"
238,11,"","SIP IP ADDRESS"
68,1,"","IMS CENTREX"
69,1,"","IMS Child Number"
242,11,"","Participant2"
243,1,"","Participant3"
243,11,"","Participant3"
244,1,"","Participant4"
244,11,"","Participant4"
245,1,"","Participant5"
245,11,"","Participant5"
246,1,"","Participant1_password"
246,11,"","Participant1_password"
247,1,"","Participant2_password"
247,11,"","Participant2_password"
248,1,"","Participant3_password"
248,11,"","Participant3_password"
249,1,"","Participant4_password"
249,11,"","Participant4_password"
250,1,"","Participant5_password"
250,11,"","Participant5_password"
251,1,"","access_password"
251,11,"","access_password"
253,1,"ICT","ICT"
40,1,"CRM","CRM_SUBSCR_NO"
40,11,"CRM","CRM_SUBSCR_NO"
43,1,"CRM","CRM_CUSTOMER_ID"
43,11,"CRM","CRM_CUSTOMER_ID"
252,1,"","CPN_CFWD_B_Number"
252,11,"","CPN_CFWD_B_Number"
258,11,"","Slave MSISDN2"
255,1,"","ICT No"
255,11,"","ICT No"
71,1,"","Visa Number"
71,11,"","Visa Number"
254,1,"CRM","CUSTOMER SEGMENT"
254,11,"CRM","CUSTOMER SGEMENT"
256,1,"","Slave MSISDN1"
256,11,"","Slave MSISDN1"
257,1,"","Slave IMSI1"
257,11,"","Slave IMSI1"
